,precision,recall,f1-score,support
1.0,0.6618229854689565,0.8681767545488303,0.7510842212346737,8079.0
2.0,0.6477995758218452,0.6614780725500812,0.6545673720867935,7388.0
3.0,0.816692367000771,0.6140579710144928,0.7010258107213766,6900.0
4.0,0.6994949494949495,0.6661656395611003,0.6824235891908538,6653.0
5.0,0.6952302631578947,0.6284567350579839,0.6601593003279712,6726.0
accuracy,0.6936999944049684,0.6936999944049684,0.6936999944049684,0.6936999944049684
macro avg,0.7042080281888834,0.6876670345464977,0.6898520587123338,35746.0
weighted avg,0.7021162408960643,0.6936999944049684,0.6915858237341896,35746.0
