,precision,recall,f1-score,support
1.0,0.5241379310344828,0.7111111111111111,0.6034739454094293,1710.0
2.0,0.7574906367041199,0.5870827285921626,0.6614881439084219,1378.0
3.0,0.6627148784825133,0.6755287009063444,0.6690604428485937,1655.0
4.0,0.8016014234875445,0.6524257784214338,0.7193612774451098,1381.0
5.0,0.7876811594202898,0.7470790378006873,0.7668430335097002,1455.0
accuracy,0.6770022430399789,0.6770022430399789,0.6770022430399789,0.6770022430399789
macro avg,0.70672520582579,0.6746454713663479,0.6840453686242509,7579.0
weighted avg,0.6979784583887879,0.6770022430399789,0.6808234173081754,7579.0
