,precision,recall,f1-score,support
1.0,0.536918869644485,0.6888888888888889,0.6034836065573771,1710.0
2.0,0.712248322147651,0.6161103047895501,0.6607003891050583,1378.0
3.0,0.6445121951219512,0.6386706948640484,0.6415781487101669,1655.0
4.0,0.782608695652174,0.6517016654598118,0.7111813512445674,1381.0
5.0,0.7704918032786885,0.7429553264604811,0.7564730580825753,1455.0
accuracy,0.6682939701807626,0.6682939701807626,0.6682939701807626,0.6682939701807626
macro avg,0.6893559771689899,0.667665376092556,0.674683310739949,7579.0
weighted avg,0.681900688798589,0.6682939701807626,0.6711998528953829,7579.0
