,precision,recall,f1-score,support
18.0,0.48616600790513836,0.5356559608056614,0.5097125097125097,1837.0
21.0,0.5091006423982869,0.5121163166397416,0.5106040268456375,1857.0
27.0,0.44949832775919735,0.35443037974683544,0.3963432615747567,1896.0
31.0,0.5075308078502967,0.5535092085614733,0.5295238095238095,2009.0
35.0,0.46432318992654775,0.46949602122015915,0.4668952782906885,1885.0
accuracy,0.48544917756221,0.48544917756221,0.48544917756221,0.48544917756221
macro avg,0.4833237951678934,0.4850415773947742,0.48261577718948034,9484.0
weighted avg,0.4835105741110907,0.48544917756221,0.48290924874011487,9484.0
