Model,Accuracy,F1-score
Random Forest,0.4767979002624672,0.4743785277680962
SVM,0.4859842519685039,0.4872777619285874
KNN,0.4441469816272966,0.4446352175400715
Logistic Regression,0.2279790026246719,0.19879008693580955
LDA,0.2693438320209974,0.26030779868192416
