,precision,recall,f1-score,support
18.0,0.3800498753117207,0.4148067501360915,0.39666840187402397,1837.0
19.0,0.40411899313501143,0.45328542094455854,0.42729252359061215,1948.0
20.0,0.4245234415249871,0.4608501118568233,0.441941539286672,1788.0
21.0,0.5240730492529053,0.5091397849462366,0.5164985001363512,1860.0
22.0,0.3301378070701019,0.3064516129032258,0.3178540524949524,1798.0
23.0,0.6708860759493671,0.5760869565217391,0.6198830409356725,1840.0
24.0,0.4342857142857143,0.4992961051149695,0.4645273957651168,2131.0
25.0,0.4196519959058342,0.41456016177957533,0.4170905391658189,1978.0
26.0,0.5210319685922602,0.4701417004048583,0.4942803937217345,1976.0
27.0,0.5244630071599046,0.4640971488912355,0.492436974789916,1894.0
accuracy,0.45769028871391076,0.45769028871391076,0.45769028871391076,0.45769028871391076
macro avg,0.4633221928187806,0.4568715753499313,0.458847336176087,19050.0
weighted avg,0.46328839748211836,0.45769028871391076,0.45922821047215445,19050.0
