,precision,recall,f1-score,support
18.0,0.6898016997167139,0.7953184540010887,0.738811630847029,1837.0
21.0,0.7362459546925566,0.7350565428109854,0.7356507679870655,1857.0
27.0,0.682842287694974,0.6234177215189873,0.6517783291976841,1896.0
31.0,0.6838131193959415,0.7212543554006968,0.7020348837209303,2009.0
35.0,0.7274368231046932,0.6413793103448275,0.6817028474767409,1885.0
accuracy,0.7028679881906369,0.7028679881906369,0.7028679881906369,0.7028679881906369
macro avg,0.7040279769209759,0.7032852768153172,0.7019956918458898,9484.0
weighted avg,0.703715985463111,0.7028679881906369,0.7016522672992186,9484.0
