Model,Accuracy,F1-score
Random Forest,0.6795091700752078,0.6896633696391784
SVM,0.6954743369837709,0.7021647798185554
KNN,0.6948146193429212,0.7039232013986648
Logistic Regression,0.5941417073492545,0.6032100603024795
LDA,0.6044333025465101,0.6149278523093106
