,precision,recall,f1-score,support
18.0,0.6774683544303798,0.7283614589003811,0.70199370409234,1837.0
21.0,0.6751804553026096,0.6548196015078083,0.6648441771459814,1857.0
27.0,0.5874931431705979,0.564873417721519,0.5759612799139554,1896.0
31.0,0.6341579448144624,0.6635141861622698,0.6485040136219898,2009.0
35.0,0.6146943353897925,0.5814323607427055,0.5976008724100327,1885.0
accuracy,0.6383382539013075,0.6383382539013075,0.6383382539013075,0.6383382539013075
macro avg,0.6377988466215684,0.6386002050069367,0.6377808094368598,9484.0
weighted avg,0.6373817593187496,0.6383382539013075,0.6374444185949034,9484.0
