,precision,recall,f1-score,support
1.0,0.5301151461470328,0.7,0.6033266129032258,1710.0
2.0,0.745374449339207,0.613933236574746,0.6732988460007958,1378.0
3.0,0.6330935251798561,0.6380664652567976,0.6355702678302738,1655.0
4.0,0.7906360424028268,0.6480811006517017,0.7122960604854756,1381.0
5.0,0.7748917748917749,0.7381443298969073,0.7560718057022175,1455.0
accuracy,0.6686898007652725,0.6686898007652725,0.6686898007652725,0.6686898007652725
macro avg,0.6948221875921395,0.6676450264760305,0.6761127185843977,7579.0
weighted avg,0.6862024782028436,0.6686898007652725,0.6722692239002355,7579.0
