,precision,recall,f1-score,support
18.0,0.3843478260869565,0.36091453456722916,0.3722627737226277,1837.0
19.0,0.4104781281790437,0.41427104722792607,0.41236586612161474,1948.0
20.0,0.4299347061778001,0.47874720357941836,0.45302990209050015,1788.0
21.0,0.5136338341680579,0.4962365591397849,0.5047853431774678,1860.0
22.0,0.27685729556386957,0.28809788654060065,0.28236576723902973,1798.0
23.0,0.6050029086678301,0.5652173913043478,0.5844338297274515,1840.0
24.0,0.3752354048964218,0.3740028155795401,0.3746180963572268,2131.0
25.0,0.37725975261655564,0.40091001011122346,0.38872549019607844,1978.0
26.0,0.4412681912681913,0.42965587044534415,0.43538461538461537,1976.0
27.0,0.4800655379574003,0.4640971488912355,0.47194630872483223,1894.0
accuracy,0.42650918635170604,0.42650918635170604,0.42650918635170604,0.42650918635170604
macro avg,0.42940835855821263,0.427215046738665,0.4279917992741444,19050.0
weighted avg,0.4287544262011937,0.42650918635170604,0.42732294034884455,19050.0
