Model,Accuracy,F1-score
Random Forest,0.5907181304975713,0.6088808295758332
SVM,0.555533674675069,0.5744861551746526
KNN,0.47636864907443877,0.4994277568032655
Logistic Regression,0.4871340422738611,0.4902211046921733
LDA,0.4729552317185243,0.4861585836953612
