,precision,recall,f1-score,support
18.0,0.4021164021164021,0.3723462166575939,0.3866591294516676,1837.0
21.0,0.42334739803094235,0.4862681744749596,0.45263157894736844,1857.0
27.0,0.4444444444444444,0.2679324894514768,0.3343205001645278,1896.0
31.0,0.3932993445010925,0.5375808860129417,0.45425867507886436,2009.0
35.0,0.43668370244179444,0.4079575596816976,0.421832144816237,1885.0
accuracy,0.415858287642345,0.415858287642345,0.415858287642345,0.415858287642345
macro avg,0.4199782583069352,0.41441706525573385,0.409940405691733,9484.0
weighted avg,0.4197382726384895,0.415858287642345,0.4104239353049311,9484.0
