Model,Accuracy,F1-score
Random Forest,0.7074811980472357,0.7142123285922823
SVM,0.6770022430399789,0.6840453686242509
KNN,0.6858424594273651,0.6947758050952924
Logistic Regression,0.6153846153846154,0.6221669875664543
LDA,0.6044333025465101,0.6149278523093106
