,precision,recall,f1-score,support
18.0,0.5217624932831811,0.5285792052259118,0.5251487290427258,1837.0
21.0,0.5567010309278351,0.46526655896607433,0.5068935171604576,1857.0
27.0,0.4083769633507853,0.41139240506329117,0.4098791382028376,1896.0
31.0,0.5004452359750667,0.5594823295171727,0.5283196239717979,2009.0
35.0,0.46631853785900784,0.4737400530503979,0.47,1885.0
accuracy,0.48840151834668916,0.48840151834668916,0.48840151834668916,0.48840151834668916
macro avg,0.49072085227917517,0.4876921103645696,0.48804820167556373,9484.0
weighted avg,0.49040058625531646,0.48840151834668916,0.4882406629281294,9484.0
