,precision,recall,f1-score,support
1.0,0.8330665447061514,0.9018442876593638,0.8660921248142645,8079.0
2.0,0.7419436052366566,0.7977801840822956,0.7688494651708844,7388.0
3.0,0.8079824010056568,0.7452173913043478,0.7753317249698432,6900.0
4.0,0.7758702908917501,0.7336539906808959,0.7541718170580964,6653.0
5.0,0.8019059521949695,0.7631578947368421,0.7820522587034356,6726.0
accuracy,0.792704078778045,0.792704078778045,0.792704078778045,0.792704078778045
macro avg,0.7921537588070369,0.7883307496927491,0.7892994781433048,35746.0
weighted avg,0.7928827565846425,0.792704078778045,0.7918311312671537,35746.0
