Model,Accuracy,F1-score
SVM,0.6979812640189998,0.7045027427021059
RandomForest,0.7143422615120728,0.7219094849465527
KNN,0.6967937722654703,0.7056272624923218
LogisticRegression,0.6259400976382108,0.6335504808136753
LDA,0.6044333025465101,0.6149278523093106
