,precision,recall,f1-score,support
18.0,0.44166666666666665,0.46162221012520416,0.45142400851743414,1837.0
19.0,0.43495400788436267,0.5097535934291582,0.46939257858662253,1948.0
20.0,0.4980587909040488,0.5022371364653244,0.5001392369813422,1788.0
21.0,0.5471108797501302,0.5650537634408602,0.5559375826500925,1860.0
22.0,0.3890577507598784,0.3559510567296997,0.3717688062735986,1798.0
23.0,0.700759789596727,0.6516304347826087,0.6753027316248944,1840.0
24.0,0.42771535580524345,0.5358986391365556,0.4757342220370756,2131.0
25.0,0.5102759835584263,0.43933265925176945,0.4721543058951372,1978.0
26.0,0.484297520661157,0.44483805668016196,0.4637298865734635,1976.0
27.0,0.5902469917669411,0.49208025343189016,0.53671177656205,1894.0
accuracy,0.49611548556430446,0.49611548556430446,0.49611548556430446,0.49611548556430446
macro avg,0.5024143737353581,0.49583978034732323,0.49722951357017103,19050.0
weighted avg,0.5013857374883935,0.49611548556430446,0.49677197117869243,19050.0
