Model,Accuracy,F1-score
Random Forest,0.5809373769200472,0.5992304423255335
SVM,0.5593409478797426,0.5757508303161128
KNN,0.48660890114218197,0.5111623667989684
Logistic Regression,0.5189050807404489,0.5256925376376982
LDA,0.5015097807535775,0.5138351321363147
