Model,Accuracy,F1-score
Random Forest,0.7099881250824647,0.717076907148275
SVM,0.6686898007652725,0.6761127185843977
KNN,0.5715793640321942,0.584095484986696
Logistic Regression,0.6184193165325241,0.6233578820907262
LDA,0.6056207943000396,0.6166132666727787
