,precision,recall,f1-score,support
18.0,0.6672994779307072,0.7653783342406096,0.7129817444219066,1837.0
21.0,0.6626916524701874,0.6284329563812601,0.6451077943615257,1857.0
27.0,0.5971997845988153,0.584915611814346,0.5909938715694112,1896.0
31.0,0.6516598453842656,0.713290194126431,0.6810836501901141,2009.0
35.0,0.7044871794871795,0.5830238726790451,0.6380261248185777,1885.0
accuracy,0.6552087726697596,0.6552087726697596,0.6552087726697596,0.6552087726697596
macro avg,0.656667587974231,0.6550081938483384,0.6536386370723071,9484.0
weighted avg,0.6564615451186762,0.6552087726697596,0.6536496539058368,9484.0
