Model,Accuracy,F1-score
Random Forest,0.6831505693800084,0.6829573940541572
SVM,0.6951708140025306,0.6945816030213103
KNN,0.6365457612821595,0.6360406752653159
Logistic Regression,0.48724167018135806,0.48456988252625743
LDA,0.48840151834668916,0.48804820167556373
