,precision,recall,f1-score,support
18.0,0.6465072667604314,0.7506804572672836,0.6947103274559194,1837.0
21.0,0.6932975871313672,0.6962843295638126,0.6947877485222999,1857.0
27.0,0.6666666666666666,0.580168776371308,0.6204173716864072,1896.0
31.0,0.6335149863760218,0.6943753111000498,0.6625504630729043,2009.0
35.0,0.7203182374541004,0.6244031830238727,0.6689400397840296,1885.0
accuracy,0.6689160691691269,0.6689160691691269,0.6689160691691269,0.6689160691691269
macro avg,0.6720609488777175,0.6691824114652654,0.6682811901043121,9484.0
weighted avg,0.6716173506508085,0.6689160691691269,0.6679387297096399,9484.0
