,precision,recall,f1-score,support
1.0,0.4439868204283361,0.6304093567251462,0.5210246495891735,1710.0
2.0,0.6063829787234043,0.49637155297532654,0.5458898643256185,1378.0
3.0,0.5260303687635575,0.5861027190332326,0.5544441268933981,1655.0
4.0,0.696969696969697,0.5829109341057205,0.6348580441640379,1381.0
5.0,0.8759765625,0.6164948453608248,0.7236789027833804,1455.0
accuracy,0.5850376039055284,0.5850376039055284,0.5850376039055284,0.5850376039055284
macro avg,0.6298692854769989,0.5824578816400502,0.5959791175511217,7579.0
weighted avg,0.6204584401464104,0.5850376039055284,0.5924904573673463,7579.0
