,precision,recall,f1-score,support
18.0,0.6711603273952816,0.758845944474687,0.7123147675012774,1837.0
21.0,0.6710526315789473,0.6865912762520194,0.6787330316742082,1857.0
27.0,0.5954870665932857,0.570675105485232,0.5828171290061944,1896.0
31.0,0.6370302474793768,0.6918865107018417,0.6633261751371987,2009.0
35.0,0.6982758620689655,0.5586206896551724,0.6206896551724138,1885.0
accuracy,0.6530999578237031,0.6530999578237031,0.6530999578237031,0.6530999578237031
macro avg,0.6546012270231714,0.6533239053137905,0.6515761516982586,9484.0
weighted avg,0.6541705507923001,0.6530999578237031,0.6512624451882357,9484.0
