,precision,recall,f1-score,support
18.0,0.7357910906298003,0.7822536744692433,0.758311345646438,1837.0
21.0,0.719626168224299,0.7049003769520732,0.7121871599564744,1857.0
27.0,0.7171381031613977,0.6819620253164557,0.6991078669910786,1896.0
31.0,0.6916279069767441,0.7401692384270782,0.7150757393604231,2009.0
35.0,0.7390562819783968,0.6896551724137931,0.7135016465422612,1885.0
accuracy,0.719738506959089,0.719738506959089,0.719738506959089,0.719738506959089
macro avg,0.7206479101941274,0.7197880975157287,0.7196367516993352,9484.0
weighted avg,0.7201907874440144,0.719738506959089,0.7193795632553793,9484.0
