,precision,recall,f1-score,support
1.0,0.8341795522732518,0.8947889590295829,0.8634219169901464,8079.0
2.0,0.7389069942341439,0.797915538711424,0.7672784068723155,7388.0
3.0,0.8019878863177512,0.7484057971014493,0.7742709348526876,6900.0
4.0,0.7714648468497064,0.7306478280474974,0.750501775513355,6653.0
5.0,0.8003772398616787,0.7570621468926554,0.7781173594132029,6726.0
accuracy,0.790046438762379,0.790046438762379,0.790046438762379,0.790046438762379
macro avg,0.7893833039073064,0.7857640539565218,0.7867180787283414,35746.0
weighted avg,0.7902420084264166,0.790046438762379,0.7892747065328471,35746.0
