,precision,recall,f1-score,support
18.0,0.7276807980049875,0.7942297223734349,0.7595002602811036,1837.0
21.0,0.7231450719822813,0.7032848680667744,0.713076713076713,1857.0
27.0,0.7199552822806037,0.679324894514768,0.6990502035278154,1896.0
31.0,0.6875871687587168,0.7361871577899453,0.7110576923076923,2009.0
35.0,0.7449509521061742,0.6848806366047745,0.7136539524599226,1885.0
accuracy,0.7194221847321806,0.7194221847321806,0.7194221847321806,0.7194221847321806
macro avg,0.7206638546265528,0.7195814558699394,0.7192677643306494,9484.0
weighted avg,0.7201877273899919,0.7194221847321806,0.7189516263645813,9484.0
