Model,Accuracy,F1-score
SVM,0.785756150558232,0.7827599244805048
RandomForest,0.816576844452704,0.8145419867202252
KNN,0.7538347175961002,0.7521198112723416
LogisticRegression,0.4578359755836061,0.44777191936875604
LDA,0.42940259888782467,0.42537106051669465
