Model,Accuracy,F1-score
SVM,0.7068747363981442,0.7061381157229385
RandomForest,0.719738506959089,0.7196367516993352
KNN,0.6559468578658794,0.6544335388085406
LogisticRegression,0.48787431463517505,0.4852874876433593
LDA,0.48840151834668916,0.48804820167556373
