Model,Accuracy,F1-score
Random Forest,0.6362741236707365,0.6459662322353499
SVM,0.5917684127609295,0.6048572671301936
KNN,0.6025994486018117,0.6133031280239615
Logistic Regression,0.5199553630038073,0.5278596028110095
LDA,0.5076145464093476,0.5202221716221097
