Model,Accuracy,F1-score
SVM,0.5041099023630151,0.49898287949195985
KNN,0.7315340299915658,0.727804486702611
Logistic Regression,0.41963890040455737,0.4086330002619075
LDA,0.392949551841951,0.38271926649333354
