Feature,Importance
Ch11_WL,0.016860367517712947
Ch11_RMS,0.01592547240818613
Ch11_MAV,0.015348211946910408
Ch12_WL,0.012475963407355857
Ch12_MAV,0.012312062041644579
Ch12_RMS,0.012305044085921901
Ch11_MDWT_L2,0.011442462998049996
Ch11_MDWT_L1,0.01113863138813439
Ch7_WL,0.010794955759705658
Ch11_Spec,0.010751187208157527
Ch11_MDWT_L3,0.01057930953468069
Ch8_RMS,0.010413806717046652
Ch3_WL,0.010401998195179538
Ch5_RMS,0.010124215614872822
Ch7_RMS,0.00978285764199428
Ch1_RMS,0.00970335669442644
Ch3_RMS,0.009653641632945421
Ch3_MDWT_L3,0.009571547799083322
Ch3_MDWT_L4,0.009508905051581813
Ch2_MDWT_L3,0.009451123574438803
Ch2_WL,0.009390418297734435
Ch2_RMS,0.009361725742242656
Ch5_MAV,0.009347066347750687
Ch1_MDWT_L3,0.009090907307849588
Ch7_MDWT_L3,0.009025294986707727
Ch1_MDWT_L4,0.008997788063797748
Ch12_MDWT_L3,0.008934051739968852
Ch8_WL,0.008923541911445542
Ch12_MDWT_L4,0.00887062343746054
Ch8_MDWT_L2,0.00886580265375788
Ch3_MDWT_L2,0.008718968003283489
Ch3_MAV,0.008564583457389115
Ch12_Spec,0.008472407061737694
Ch2_MDWT_L4,0.008433292433625788
Ch1_WL,0.00841329934932186
Ch8_MAV,0.008407985243078772
Ch12_MDWT_L2,0.008393535788756979
Ch4_RMS,0.008374048483378116
Ch2_MAV,0.008372460849575257
Ch6_WL,0.008353969480122733
Ch8_MDWT_L3,0.008145453600359898
Ch7_MAV,0.008127111294014883
Ch12_MDWT_L1,0.00811992593692289
Ch5_WL,0.008090367999626112
Ch6_RMS,0.008067911205963398
Ch1_MAV,0.008063599372269654
Ch8_Spec,0.008058386688926418
Ch11_MDWT_L4,0.00798334731353014
Ch1_MDWT_L2,0.007945835517550577
Ch6_MAV,0.007942438644528184
Ch4_MAV,0.007906234354092668
Ch2_MDWT_L2,0.007873801544922832
Ch6_MDWT_L3,0.007777805165122126
Ch7_MDWT_L4,0.0075476665556931935
Ch10_MDWT_L3,0.007323129909142897
Ch7_MDWT_L2,0.007296566543287144
Ch11_SSC,0.007256350332075432
Ch6_MDWT_L4,0.007214626454425574
Ch4_WL,0.007205222583762081
Ch10_RMS,0.007202242287295163
Ch10_WL,0.007157718647068951
Ch3_Spec,0.0071551132061033786
Ch7_Spec,0.007073549990366865
Ch5_MDWT_L1,0.007059953880632247
Ch8_MDWT_L1,0.00703381728980187
Ch8_MDWT_L4,0.006974346985079093
Ch1_Spec,0.006943167140981709
Ch10_MAV,0.006905882760779002
Ch6_MDWT_L1,0.006903334636890842
Ch7_MDWT_L1,0.006894033087576127
Ch6_MDWT_L2,0.006878653052755976
Ch2_Spec,0.006794937737874719
Ch10_MDWT_L4,0.0067034351894148525
Ch5_MDWT_L4,0.006616449158479959
Ch9_MAV,0.006603917174247765
Ch5_MDWT_L3,0.0065321975923073915
Ch9_RMS,0.0065237595024556635
Ch10_MDWT_L2,0.006404970658525039
Ch3_MDWT_L1,0.006346463498333872
Ch4_MDWT_L2,0.006274625939583358
Ch4_MDWT_L3,0.006215805823115187
Ch1_MDWT_L1,0.006202485603517609
Ch4_MDWT_L4,0.006199810876470555
Ch5_MDWT_L2,0.006174691773735075
Ch9_WL,0.0061277802417758105
Ch12_MeanFreq,0.006071943140746719
Ch12_SSC,0.006064495803233854
Ch4_MDWT_L1,0.006059485729808522
Ch6_Spec,0.005999834323706099
Ch2_MDWT_L1,0.005978642261891091
Ch11_ZC,0.0059555020398406435
Ch12_ZC,0.005931750856212404
Ch5_Spec,0.005881082124313843
Ch3_SSC,0.0057610113373274315
Ch9_MDWT_L4,0.005661081120504745
Ch9_MDWT_L3,0.005615451267222855
Ch2_MeanFreq,0.005614536762966253
Ch3_ZC,0.0055823416265621895
Ch11_MeanFreq,0.005515252451712054
Ch1_ZC,0.00550776610740226
Ch4_Spec,0.005479967617218929
Ch10_Spec,0.005474251929756277
Ch3_MeanFreq,0.0053927668601242325
Ch10_MDWT_L1,0.005349197260460103
Ch9_MDWT_L1,0.005263043883480908
Ch1_MeanFreq,0.0052311274765334806
Ch8_MeanFreq,0.005194976199684781
Ch2_ZC,0.005140459865843216
Ch8_ZC,0.005110695397164903
Ch1_SSC,0.005024496742829628
Ch7_ZC,0.005007096029735104
Ch7_MeanFreq,0.004968372233928983
Ch7_SSC,0.004914533691656149
Ch2_SSC,0.004859000432066077
Ch9_MDWT_L2,0.004844295654800856
Ch6_SSC,0.004836886795251188
Ch5_SSC,0.004816347873473267
Ch8_SSC,0.004748577187651219
Ch9_Spec,0.004617719686717767
Ch5_ZC,0.004563433501600566
Ch6_ZC,0.004538135442693944
Ch6_MeanFreq,0.0044679788900571175
Ch10_ZC,0.004422137139155855
Ch4_SSC,0.0043897718136964746
Ch10_SSC,0.004336393967519468
Ch5_MeanFreq,0.0042294224352186225
Ch4_ZC,0.004216358042548666
Ch9_SSC,0.004173932662824094
Ch9_ZC,0.004102594271329952
Ch10_MeanFreq,0.004100157115517571
Ch4_MeanFreq,0.00399144929676653
Ch9_MeanFreq,0.003899162753192732
Ch2_MedianFreq,0.0037397936182173284
Ch3_MedianFreq,0.0036888034490820234
Ch1_MedianFreq,0.0032489256572742604
Ch8_MedianFreq,0.003206718602896855
Ch12_MedianFreq,0.0031003530274861866
Ch7_MedianFreq,0.003000658894367551
Ch6_MedianFreq,0.0029826791980039798
Ch11_MedianFreq,0.0026463558461039026
