,precision,recall,f1-score,support
1.0,0.8693844554798476,0.9317984899121179,0.899510096785757,8079.0
2.0,0.7979085296711604,0.8572008662696264,0.8264926590538336,7388.0
3.0,0.8841145833333334,0.7872463768115942,0.8328733517325974,6900.0
4.0,0.8340842007146186,0.8070043589358185,0.8203208556149733,6653.0
5.0,0.8585781701933323,0.8385370205173952,0.8484392628807822,6726.0
accuracy,0.8477032395233033,0.8477032395233033,0.8477032395233033,0.8477032395233033
macro avg,0.8488139878784585,0.8443574224893104,0.8455272452135887,35746.0
weighted avg,0.8488517545489547,0.8477032395233033,0.847207886155635,35746.0
