Model,Accuracy,F1-score
Random Forest,0.5365879265091863,0.5365918587560866
SVM,0.49611548556430446,0.49722951357017103
KNN,0.44666666666666666,0.448996471099102
Logistic Regression,0.32650918635170606,0.3224976508157635
LDA,0.3179002624671916,0.3183846383696144
