,precision,recall,f1-score,support
18.0,0.6936656282450675,0.7272727272727273,0.7100717512622907,1837.0
21.0,0.6357106208311954,0.6672051696284329,0.651077246452969,1857.0
27.0,0.6894977168949772,0.6371308016877637,0.6622807017543859,1896.0
31.0,0.6776061776061776,0.6988551518168243,0.6880666503308013,2009.0
35.0,0.6901960784313725,0.6535809018567639,0.6713896457765668,1885.0
accuracy,0.6768241248418388,0.6768241248418388,0.6768241248418388,0.6768241248418388
macro avg,0.6773352444017581,0.6768089504525024,0.6765771991154028,9484.0
weighted avg,0.6773931328402092,0.6768241248418388,0.6766166013350607,9484.0
