Model,Accuracy,F1-score
Random Forest,0.8504168298550887,0.8482137531227186
SVM,0.7961729983774408,0.7933265109063534
KNN,0.7915011469814804,0.7884828218887653
Logistic Regression,0.5367034073742517,0.5283269447256741
LDA,0.5194707100095115,0.5093572498944124
