,precision,recall,f1-score,support
18.0,0.6878121878121878,0.7495917256396298,0.7173743162281844,1837.0
21.0,0.6823144104803494,0.6731287022078621,0.6776904310111141,1857.0
27.0,0.5980066445182725,0.569620253164557,0.5834683954619124,1896.0
31.0,0.6192893401015228,0.7287207565953211,0.6695632289046421,2009.0
35.0,0.7094594594594594,0.5570291777188329,0.6240713224368499,1885.0
accuracy,0.6559468578658794,0.6559468578658794,0.6559468578658794,0.6559468578658794
macro avg,0.6593764084743583,0.6556181230652406,0.6544335388085406,9484.0
weighted avg,0.658569465692185,0.6559468578658794,0.6541618301093934,9484.0
