,precision,recall,f1-score,support
1.0,0.5388324436025487,0.7746008169327887,0.6355557812420657,8079.0
2.0,0.34651879235982747,0.3806172171088251,0.3627684964200477,7388.0
3.0,0.5278824415975886,0.40608695652173915,0.459043250327654,6900.0
4.0,0.4505733491498616,0.3425522320757553,0.38920672871659123,6653.0
5.0,0.4749601840382233,0.3990484686292001,0.4337076836066898,6726.0
accuracy,0.47096178593409055,0.47096178593409055,0.47096178593409055,0.47096178593409055
macro avg,0.4677534421496099,0.46058113825366165,0.4560563880626097,35746.0
weighted avg,0.4685263718060168,0.47096178593409055,0.46127391824419095,35746.0
