,precision,recall,f1-score,support
18.0,0.45902578796561605,0.43603701687534024,0.4472361809045226,1837.0
19.0,0.44234006734006737,0.5395277207392197,0.4861239592969473,1948.0
20.0,0.530031612223393,0.5626398210290827,0.545849158979924,1788.0
21.0,0.5696062118691071,0.5521505376344086,0.5607425607425608,1860.0
22.0,0.46143617021276595,0.38598442714126807,0.42035130224106604,1798.0
23.0,0.7161442933175636,0.6581521739130435,0.6859246672330784,1840.0
24.0,0.5020938023450586,0.5626466447677146,0.5306483735339677,2131.0
25.0,0.546875,0.5308392315470172,0.538737814263725,1978.0
26.0,0.5634920634920635,0.5389676113360324,0.5509570615623384,1976.0
27.0,0.6539509536784741,0.6335797254487856,0.6436041834271923,1894.0
accuracy,0.5408923884514436,0.5408923884514436,0.5408923884514436,0.5408923884514436
macro avg,0.5444995962444109,0.5400524910431913,0.5410175262185323,19050.0
weighted avg,0.5439981470170493,0.5408923884514436,0.5411814899254827,19050.0
