,precision,recall,f1-score,support
18.0,0.46914225941422594,0.48829613500272184,0.4785276073619632,1837.0
19.0,0.4322208487845076,0.5385010266940452,0.47954285714285716,1948.0
20.0,0.4733879222108495,0.517337807606264,0.49438802779262425,1788.0
21.0,0.5870698644421272,0.6053763440860215,0.5960825833774483,1860.0
22.0,0.40724716062736616,0.41879866518353726,0.4129421442281327,1798.0
23.0,0.7236604455147502,0.6532608695652173,0.6866609540131391,1840.0
24.0,0.4915254237288136,0.47630220553730646,0.48379408960915155,2131.0
25.0,0.5148842337375965,0.47219413549039435,0.49261603375527424,1978.0
26.0,0.5322052401746725,0.4934210526315789,0.5120798319327731,1976.0
27.0,0.6081582200247219,0.5195353748680043,0.5603644646924829,1894.0
accuracy,0.5175853018372704,0.5175853018372704,0.5175853018372704,0.5175853018372704
macro avg,0.5239501618659631,0.5183023616665091,0.5196998593905847,19050.0
weighted avg,0.523636988289643,0.5175853018372704,0.5191795272268552,19050.0
