Model,Accuracy,F1-score,Precision,Recall
Random Forest,0.8225665804182808,0.8202818490458004,0.8250437764548592,0.8182944352147657
SVM,0.7286606721655969,0.7261226849014358,0.7340040312508119,0.7234240006920403
KNN,0.7408259831601218,0.7390903369406672,0.7439269529092527,0.7370224904981382
Logistic Regression,0.45879376152559576,0.4511952697125041,0.45299954062749376,0.4537553478346531
LDA,0.42940259888782467,0.42537106051669465,0.44836601798062753,0.42168961535128097
