,precision,recall,f1-score,support
18.0,0.6365007541478129,0.6891671203048448,0.661787767903816,1837.0
21.0,0.6366165831942125,0.6160473882606354,0.6261631089217297,1857.0
27.0,0.6487632508833923,0.48417721518987344,0.5545152521896708,1896.0
31.0,0.5424325381306219,0.6903932304629169,0.6075339465615418,2009.0
35.0,0.6407879490150638,0.5867374005305039,0.6125726945444475,1885.0
accuracy,0.613770560944749,0.613770560944749,0.613770560944749,0.613770560944749
macro avg,0.6210202150742207,0.6133044709497548,0.6125145540242412,9484.0
weighted avg,0.6199004910411124,0.613770560944749,0.6120924893417333,9484.0
