,precision,recall,f1-score,support
18.0,0.7413617886178862,0.7942297223734349,0.7668856767411301,1837.0
21.0,0.7179203539823009,0.6989768443726441,0.7083219645293315,1857.0
27.0,0.7036833424958768,0.6751054852320675,0.6890982503364738,1896.0
31.0,0.6850356294536817,0.7177700348432056,0.7010209042294604,2009.0
35.0,0.7174887892376681,0.6790450928381963,0.6977378032161352,1885.0
accuracy,0.7126739772247996,0.7126739772247996,0.7126739772247996,0.7126739772247996
macro avg,0.7130979807574828,0.7130254359319096,0.7126129198105062,9484.0
weighted avg,0.7125628709082479,0.7126739772247996,0.7121720702869865,9484.0
