,precision,recall,f1-score,support
1.0,0.40611510791366906,0.660233918128655,0.5028953229398664,1710.0
2.0,0.6502835538752363,0.49927431059506533,0.5648604269293924,1378.0
3.0,0.5504702194357367,0.5305135951661631,0.5403076923076923,1655.0
4.0,0.7433628318584071,0.5474293989862419,0.6305254378648875,1381.0
5.0,0.7803365810451727,0.6054982817869415,0.6818885448916409,1455.0
accuracy,0.5715793640321942,0.5715793640321942,0.5715793640321942,0.5715793640321942
macro avg,0.6261136588256444,0.5685899009326134,0.584095484986696,7579.0
weighted avg,0.6153251855331549,0.5715793640321942,0.5799500414057067,7579.0
