Model,Accuracy,F1-score,precision,recall
Random Forest,0.8504168298550887,0.8482137531227186,0.8513767829994789,0.8470952060997646
SVM,0.7961729983774408,0.7933265109063534,0.7974286037670841,0.7921616551273039
KNN,0.7915011469814804,0.7884828218887653,0.7923172994217238,0.7872033898665904
Logistic Regression,0.5367034073742517,0.5283269447256741,0.5284178472342288,0.5312694608477334
LDA,0.5194707100095115,0.5093572498944124,0.5152569793843848,0.5114266789280053
