Feature,Importance
Ch12_RMS,0.014668296984587811
Ch12_WL,0.013985004805641679
Ch2_MAV,0.012733133237708298
Ch12_MAV,0.012615907714070142
Ch11_RMS,0.01219714805562658
Ch11_WL,0.011667674120959062
Ch2_RMS,0.011584260062935297
Ch12_MDWT_L2,0.011487201489265332
Ch7_RMS,0.01133323887974537
Ch1_MAV,0.011160701955482102
Ch1_WL,0.011109565081284151
Ch2_WL,0.010723452381746355
Ch2_MDWT_L1,0.010704401902909952
Ch11_MAV,0.01069119975892787
Ch3_RMS,0.010578657799305623
Ch11_Spec,0.01042331637046099
Ch3_MAV,0.010148776321715833
Ch12_Spec,0.010108751145929745
Ch1_RMS,0.009980053226134968
Ch1_MDWT_L4,0.009962865421922559
Ch11_MDWT_L2,0.009840540098592948
Ch3_MDWT_L1,0.009759212001036119
Ch11_MDWT_L1,0.009590091061181616
Ch1_MDWT_L3,0.009523728492377887
Ch2_Spec,0.009488127324764473
Ch7_MAV,0.009370497206420846
Ch10_WL,0.009238323058172003
Ch7_MDWT_L2,0.009218182518739172
Ch3_WL,0.009216786548661076
Ch10_MDWT_L4,0.00914490204206839
Ch7_MDWT_L1,0.009018849129928605
Ch11_MDWT_L3,0.009014059553303807
Ch9_MDWT_L4,0.00899792194615495
Ch8_WL,0.00899103130683131
Ch9_RMS,0.00881888694579965
Ch1_MDWT_L2,0.00880762252408119
Ch1_MDWT_L1,0.00862884486412347
Ch12_MDWT_L1,0.008570138747829909
Ch12_MDWT_L4,0.008526871843369595
Ch2_MDWT_L4,0.008484500308522363
Ch9_MDWT_L3,0.00844038928770573
Ch9_MAV,0.008383133317439244
Ch9_WL,0.008367558630683948
Ch10_MDWT_L3,0.008330380069584468
Ch7_WL,0.008329688156186685
Ch1_Spec,0.008242086318270536
Ch10_RMS,0.008171415671993731
Ch12_MDWT_L3,0.00816104447771416
Ch8_MAV,0.008131939949770033
Ch11_MDWT_L4,0.00812828307858692
Ch4_WL,0.008107374365481385
Ch8_MDWT_L4,0.008084680026670874
Ch4_RMS,0.008063826406036452
Ch2_MDWT_L3,0.008028031289356337
Ch2_MDWT_L2,0.007987951172809838
Ch5_MDWT_L4,0.007959940489711615
Ch7_Spec,0.007947748493437611
Ch3_MDWT_L3,0.00794274801071291
Ch7_MDWT_L3,0.00791081415661802
Ch4_MDWT_L3,0.00789386610947223
Ch5_WL,0.007890973819437326
Ch8_RMS,0.007877821154520305
Ch10_MDWT_L2,0.007751060168994985
Ch3_MDWT_L2,0.007741906395345177
Ch3_MDWT_L4,0.0077255810805744
Ch4_MDWT_L4,0.0076192594357804184
Ch10_MAV,0.0076060660394777525
Ch8_MDWT_L3,0.007475451079883268
Ch3_Spec,0.007390889584162051
Ch6_WL,0.007253252258543988
Ch6_MDWT_L4,0.007180743881511297
Ch9_MDWT_L2,0.007127395276503754
Ch7_MDWT_L4,0.006962097888961802
Ch4_MAV,0.0069407532687352225
Ch4_MDWT_L1,0.0068845245836835324
Ch5_MDWT_L3,0.006750795353054951
Ch1_MeanFreq,0.006695251521632743
Ch8_MDWT_L2,0.006592125587911165
Ch4_MDWT_L2,0.006571185154141794
Ch8_MDWT_L1,0.006502936787204829
Ch9_MDWT_L1,0.0065015514348312885
Ch6_MDWT_L3,0.006498164535510082
Ch8_Spec,0.006366405622915132
Ch5_RMS,0.006290037500472967
Ch5_MAV,0.006281118088853927
Ch6_RMS,0.0062626469081363476
Ch9_Spec,0.006247014596007995
Ch10_Spec,0.006225400196366915
Ch4_Spec,0.006161015559416901
Ch6_MAV,0.006064545446321991
Ch10_MDWT_L1,0.006005487872183185
Ch5_MDWT_L2,0.0059471820389038095
Ch9_SSC,0.005721357844448857
Ch11_SSC,0.005171182033971885
Ch10_SSC,0.005103933251291533
Ch6_SSC,0.005019376294184672
Ch9_MeanFreq,0.004945668344988417
Ch5_MDWT_L1,0.004910757504933414
Ch2_MeanFreq,0.004910310187265334
Ch6_MDWT_L1,0.004865763309981525
Ch12_SSC,0.0048382406075933295
Ch4_SSC,0.004823508065215924
Ch8_MeanFreq,0.004807567121900538
Ch3_MeanFreq,0.004799823646658548
Ch3_SSC,0.00474460672750385
Ch8_SSC,0.0047362687044633514
Ch7_MeanFreq,0.004691141601534345
Ch5_Spec,0.004686079601222079
Ch6_MDWT_L2,0.004565804425700416
Ch1_MedianFreq,0.0045312887199379015
Ch8_ZC,0.004521889395837723
Ch6_ZC,0.0044997345362523975
Ch7_SSC,0.004488107878447273
Ch9_ZC,0.004409848002548255
Ch6_Spec,0.004409752655477131
Ch5_SSC,0.004353183512281716
Ch3_ZC,0.004351151746443541
Ch1_ZC,0.0043424455795762155
Ch1_SSC,0.004281792824101955
Ch4_ZC,0.0042664846529665065
Ch2_SSC,0.004211755536724729
Ch10_MeanFreq,0.004165423805413498
Ch7_ZC,0.004162556735447218
Ch4_MeanFreq,0.004142034289529051
Ch10_ZC,0.0040530507755484925
Ch12_ZC,0.004021606657698643
Ch2_ZC,0.004017248301476779
Ch6_MeanFreq,0.003988132253647671
Ch11_ZC,0.003949628557997462
Ch5_ZC,0.003935445391585763
Ch12_MeanFreq,0.0037276177607318607
Ch5_MeanFreq,0.0035819957767587096
Ch11_MeanFreq,0.0034977374442330456
Ch2_MedianFreq,0.0029224144117079355
Ch3_MedianFreq,0.0026575583848061695
Ch7_MedianFreq,0.0025160742604697713
Ch9_MedianFreq,0.002466304367237564
Ch8_MedianFreq,0.0023268647416401994
Ch4_MedianFreq,0.002277904644331674
Ch10_MedianFreq,0.0022522538908399743
