,precision,recall,f1-score,support
1.0,0.8758525026008553,0.9378635969798242,0.9057979677226539,8079.0
2.0,0.8040702818859815,0.8609907958852193,0.8315576181449768,7388.0
3.0,0.8841522941750732,0.787536231884058,0.8330522765598651,6900.0
4.0,0.832076342927505,0.8125657598076056,0.8222053231939164,6653.0
5.0,0.8595016052591347,0.8358608385370205,0.8475163940604508,6726.0
accuracy,0.8504448050131483,0.8504448050131483,0.8504448050131483,0.8504448050131483
macro avg,0.8511306053697097,0.8469634446187456,0.8480259159363726,35746.0
weighted avg,0.8513944538511604,0.8504448050131483,0.849887468640105,35746.0
