,precision,recall,f1-score,support
1.0,0.4208656330749354,0.7619883040935672,0.5422388680815647,1710.0
2.0,0.7822120866590649,0.49782293178519593,0.6084257206208425,1378.0
3.0,0.5938697318007663,0.5619335347432024,0.5774604160198696,1655.0
4.0,0.801,0.5800144822592325,0.6728265434691306,1381.0
5.0,0.8413461538461539,0.6013745704467354,0.7014028056112225,1455.0
accuracy,0.6062805119408893,0.6062805119408893,0.6062805119408893,0.6062805119408893
macro avg,0.6878587210761842,0.6006267646655867,0.620470870760526,7579.0
weighted avg,0.6743320422154312,0.6062805119408893,0.6163149009952605,7579.0
