Model,Accuracy,F1-score
SVM,0.4716010498687664,0.4726341410816026
RandomForest,0.5408923884514436,0.5410175262185323
KNN,0.45769028871391076,0.458847336176087
LogisticRegression,0.2843044619422572,0.2718776067109113
LDA,0.2693438320209974,0.26030779868192416
