Model,Accuracy,F1-score
Random Forest,0.6876896688217443,0.6977058200190858
SVM,0.6272595329199103,0.6379761241769405
KNN,0.5797598627787307,0.5930545974313097
Logistic Regression,0.5783084839688614,0.5863737864962063
LDA,0.5850376039055284,0.5959791175511217
