,precision,recall,f1-score,support
1.0,0.4026056561804894,0.7409356725146199,0.5217212270949145,1710.0
2.0,0.7397420867526378,0.4579100145137881,0.5656656207978485,1378.0
3.0,0.5666235446313066,0.5293051359516616,0.5473289597000938,1655.0
4.0,0.7764589515331355,0.5684286748732802,0.6563545150501672,1381.0
5.0,0.8170254403131115,0.5738831615120275,0.6742026645135244,1455.0
accuracy,0.5797598627787307,0.5797598627787307,0.5797598627787307,0.5797598627787307
macro avg,0.6604911358821361,0.5740925318730754,0.5930545974313097,7579.0
weighted avg,0.6473999289749863,0.5797598627787307,0.5891081164067625,7579.0
