,precision,recall,f1-score,support
1.0,0.5748660496833902,0.7304121797252136,0.6433711295246403,8079.0
2.0,0.40831212892281593,0.32579859231185704,0.3624181284348415,7388.0
3.0,0.510430463576159,0.44681159420289857,0.47650695517774344,6900.0
4.0,0.4351219512195122,0.40222456034871484,0.41802702491603533,6653.0
5.0,0.44253650621957813,0.48661909009812665,0.4635320776094038,6726.0
accuracy,0.4850892407542103,0.4850892407542103,0.4850892407542103,0.4850892407542103
macro avg,0.4742534199242911,0.4783732033373621,0.4727710631325329,35746.0
weighted avg,0.47709645568303216,0.4850892407542103,0.477314637436352,35746.0
