Model,Accuracy,F1-score
Random Forest,0.5343307086614173,0.5345328409577885
SVM,0.4289763779527559,0.4282558251887125
KNN,0.4546981627296588,0.45647157687911505
Logistic Regression,0.279002624671916,0.2686715975327152
LDA,0.2693438320209974,0.26030779868192416
