,precision,recall,f1-score,support
1.0,0.4576751721344674,0.6608187134502924,0.540799234266571,1710.0
2.0,0.6554850407978241,0.5246734397677794,0.5828295042321644,1378.0
3.0,0.5493630573248408,0.6253776435045317,0.5849109918055948,1655.0
4.0,0.7140287769784173,0.5749456915278783,0.636983553951063,1381.0
5.0,0.8892185954500494,0.6178694158075602,0.7291159772911597,1455.0
accuracy,0.6044333025465101,0.6044333025465101,0.6044333025465101,0.6044333025465101
macro avg,0.6531541285371198,0.6007369808116084,0.6149278523093106,7579.0
weighted avg,0.6432201593652156,0.6044333025465101,0.6117524045165686,7579.0
