,precision,recall,f1-score,support
1.0,0.8733371891266628,0.9345215992078227,0.9028940444869649,8079.0
2.0,0.8026299152863826,0.8592311857065512,0.8299666601294371,7388.0
3.0,0.8868078175895765,0.7891304347826087,0.8351226993865031,6900.0
4.0,0.8295750882037122,0.8128663760709455,0.8211357424840571,6653.0
5.0,0.8645339047910607,0.839726434730895,0.8519496191266309,6726.0
accuracy,0.8504168298550887,0.8504168298550887,0.8504168298550887,0.8504168298550887
macro avg,0.8513767829994789,0.8470952060997646,0.8482137531227186,35746.0
weighted avg,0.851522212608464,0.8504168298550887,0.8499370706989732,35746.0
