Model,Accuracy,F1-score,Precision,Recall
Random Forest,0.8159335553871886,0.8134832703284219,0.8177750199895746,0.8116676333459815
SVM,0.5699398167340929,0.5689534072687839,0.6108393920919393,0.5614541505371908
KNN,0.7401969894071734,0.7372250057613394,0.7399406447729147,0.7360538905005516
Logistic Regression,0.42314125198347463,0.41320102473311876,0.4218803738108935,0.41692998643190815
LDA,0.392949551841951,0.38271926649333354,0.41217924988148347,0.3840913256411888
