,precision,recall,f1-score,support
18.0,0.489785749875436,0.5351115949918345,0.5114464099895941,1837.0
21.0,0.5132978723404256,0.5196553581044696,0.5164570511105164,1857.0
27.0,0.44627554383651946,0.3570675105485232,0.3967184295341342,1896.0
31.0,0.5084901330885727,0.5515181682429069,0.5291308500477555,2009.0
35.0,0.4671225670699632,0.47108753315649865,0.46909667194928684,1885.0
accuracy,0.48724167018135806,0.48724167018135806,0.48724167018135806,0.48724167018135806
macro avg,0.4849943732421834,0.4868880330088466,0.48456988252625743,9484.0
weighted avg,0.48514885268591423,0.48724167018135806,0.4848204392482263,9484.0
