,precision,recall,f1-score,support
1.0,0.44843304843304843,0.460233918128655,0.45425685425685425,1710.0
2.0,0.5337597725657427,0.5449927431059507,0.5393177737881508,1378.0
3.0,0.5325379609544468,0.5933534743202417,0.5613032294941411,1655.0
4.0,0.6516079632465543,0.6162201303403331,0.6334201711946409,1381.0
5.0,0.7987371744277821,0.6955326460481099,0.7435709037472447,1455.0
accuracy,0.5783084839688614,0.5783084839688614,0.5783084839688614,0.5783084839688614
macro avg,0.5930151839255149,0.582066582388658,0.5863737864962063,7579.0
weighted avg,0.586584640563614,0.5783084839688614,0.5812857737490613,7579.0
