,precision,recall,f1-score,support
1.0,0.5710186513629842,0.6982456140350877,0.6282557221783741,1710.0
2.0,0.7630691399662732,0.6567489114658926,0.7059282371294852,1378.0
3.0,0.6703357182168409,0.7359516616314199,0.7016129032258065,1655.0
4.0,0.7993254637436762,0.6864590876176684,0.7386053759252045,1381.0
5.0,0.844495765973826,0.7539518900343642,0.7966594045025418,1455.0
accuracy,0.7074811980472357,0.7074811980472357,0.7074811980472357,0.7074811980472357
macro avg,0.7296489478527202,0.7062714329568865,0.7142123285922823,7579.0
weighted avg,0.7217266904967717,0.7074811980472357,0.7108337786293795,7579.0
