,precision,recall,f1-score,support
18.0,0.4163357912648894,0.3995645073489385,0.4077777777777778,1837.0
21.0,0.5036018336607727,0.4141087775982768,0.45449172576832153,1857.0
27.0,0.3680227057710501,0.410337552742616,0.38802992518703244,1896.0
31.0,0.4196993670886076,0.5281234444997511,0.46770994048931014,2009.0
35.0,0.4568298969072165,0.37612732095490714,0.41256910096013966,1885.0
accuracy,0.4271404470687474,0.4271404470687474,0.4271404470687474,0.4271404470687474
macro avg,0.43289791893850726,0.4256523206288979,0.42611569403651633,9484.0
weighted avg,0.432525188523269,0.4271404470687474,0.4266243859591999,9484.0
