Model,Accuracy,F1-score
Random Forest,0.7126739772247996,0.7126129198105062
SVM,0.613770560944749,0.6125145540242412
KNN,0.6485660059046816,0.6472810904756656
Logistic Regression,0.42345002108814844,0.4197065871524336
LDA,0.4271404470687474,0.42611569403651633
