,precision,recall,f1-score,support
18.0,0.6946277097078228,0.8023952095808383,0.74463248295024,1837.0
21.0,0.7321814254859611,0.7302100161550888,0.7311943920194123,1857.0
27.0,0.6883190883190883,0.6371308016877637,0.6617365105450561,1896.0
31.0,0.6911270983213429,0.7172722747635639,0.7039570102589154,2009.0
35.0,0.7335329341317365,0.649867374005305,0.6891701828410689,1885.0
accuracy,0.7068747363981442,0.7068747363981442,0.7068747363981442,0.7068747363981442
macro avg,0.7079576511931902,0.7073751352385119,0.7061381157229385,9484.0
weighted avg,0.7077107678911421,0.7068747363981442,0.7057892987577649,9484.0
